subjectID,foodtype,initialfoodmass,finalfoodmass
1,no,8.12,3.19
2,no,7.73,3.04
3,no,7.59,4.86
4,no,7.82,5.06
5,no,8.2,4.54
6,no,9.59,5.48
7,no,8.13,4.47
8,no,9.92,6.29
9,no,8.83,3.69
10,no,8.74,6.17
11,no,8.25,6.53
12,no,10.11,6.94
13,no,7.41,4.35
14,no,7.19,4.53
15,no,8.52,6.79
16,no,7.75,6.1
1,high,7.94,4.02
2,high,7.97,1.26
3,high,9.58,4.97
4,high,7.49,3.41
5,high,7.93,3.05
6,high,7.24,4.74
7,high,8.05,3.88
8,high,8.28,4.42
9,high,8.06,6.77
10,high,7.48,3.91
11,high,8.33,2.87
12,high,7.63,2.78
13,high,9.44,2.97
14,high,7.63,1.25
15,high,8.68,3.25
16,high,7.25,2.08
